match_id,datetime,league,gender_bucket,home_prior_wr,away_prior_wr,prior_wr_diff,q1_diff,q2_diff,ht_home,ht_away,ht_diff,gp_count,gp_last,gp_peak_home,gp_peak_away,gp_area_home,gp_area_away,gp_area_diff,gp_mean_abs,gp_swings,pbp_home_plays,pbp_away_plays,pbp_plays_diff,pbp_home_3pt,pbp_away_3pt,pbp_3pt_diff,target_q3_home_win
14554238,2026-03-07T17:00:00,U21 Espoirs Elite,men_or_open,0.0,0.0,0.0,-7,4,39,42,-3,24,-8,0,9,0,112,-112,4.666666666666667,0,27,28,-1,1,5,-4,0
14563090,2026-03-07T17:00:00,Cyprus Basketball Division A,men_or_open,0.0,0.0,0.0,8,-5,46,43,3,24,9,10,1,99,0,99,4.125,0,28,27,1,6,3,3,1
14624113,2026-03-07T17:00:00,Meridianbet KLS,men_or_open,0.0,0.0,0.0,2,8,49,39,10,24,-1,12,3,89,7,82,4.0,5,23,28,-5,5,3,2,0
14624117,2026-03-07T17:00:00,Meridianbet KLS,men_or_open,0.0,0.0,0.0,17,-5,52,40,12,24,11,22,2,285,0,285,11.875,0,26,22,4,12,8,4,1
14624120,2026-03-07T17:00:00,Meridianbet KLS,men_or_open,0.0,0.0,0.0,-4,2,41,43,-2,24,-8,7,8,21,58,-37,3.2916666666666665,2,20,29,-9,9,5,4,0
14640951,2026-03-07T17:00:00,Swedish Basketball League Women,women,0.0,0.0,0.0,-2,-12,36,50,-14,24,-8,1,17,2,163,-161,6.875,2,25,29,-4,4,6,-2,1
14704332,2026-03-07T17:00:00,"NBL, West",men_or_open,0.0,0.0,0.0,4,-10,32,38,-6,24,-16,6,16,42,57,-15,4.125,3,16,28,-12,3,3,0,0
14713135,2026-03-07T17:00:00,"NBL, West",men_or_open,0.0,0.0,0.0,-11,2,41,50,-9,24,-3,-2,14,0,201,-201,8.375,0,29,33,-4,7,7,0,1
14775112,2026-03-07T17:00:00,Liga Nationala,men_or_open,0.0,0.0,0.0,-13,1,36,48,-12,24,-8,0,17,0,217,-217,9.041666666666666,0,24,25,-1,4,8,-4,1
14902153,2026-03-07T17:00:00,I A MCKL,men_or_open,0.0,0.0,0.0,-2,-10,46,58,-12,24,-19,2,19,3,159,-156,6.75,2,32,32,0,4,7,-3,0
14902158,2026-03-07T17:00:00,I A MCKL,men_or_open,0.0,0.0,0.0,6,5,46,35,11,24,9,11,0,163,0,163,6.791666666666667,0,27,24,3,6,4,2,1
15366268,2026-03-07T17:00:00,"Portugal Proliga, Relegation Round",men_or_open,0.0,0.0,0.0,10,-2,39,31,8,24,7,13,3,207,0,207,8.625,0,24,21,3,5,2,3,1
15500632,2026-03-07T17:00:00,"1. liga, Women",women,0.0,0.0,0.0,-2,-1,33,36,-3,24,1,2,5,7,56,-49,2.625,3,23,27,-4,4,2,2,1
