match_id,datetime,league,league_bucket,gender_bucket,home_team_bucket,away_team_bucket,home_prior_wr,away_prior_wr,prior_wr_diff,prior_wr_sum,q1_diff,q2_diff,q3_diff,q3_total,score_3q_home,score_3q_away,score_3q_diff,gp_count,gp_last,gp_peak_home,gp_peak_away,gp_area_home,gp_area_away,gp_area_diff,gp_mean_abs,gp_swings,pbp_home_plays,pbp_away_plays,pbp_plays_diff,pbp_home_3pt,pbp_away_3pt,pbp_3pt_diff,pbp_home_plays_share,pbp_home_3pt_share,global_diff,global_abs_diff,is_tied,trailing_is_home,trailing_is_away,trailing_points_to_tie,trailing_points_to_lead,remaining_minutes_target,required_ppm_tie,required_ppm_lead,trailing_points_per_min,leading_points_per_min,trailing_points_per_play,trailing_play_share,trailing_plays_per_min,req_pts_per_trailing_event,pressure_ratio_tie,pressure_ratio_lead,scoring_gap_per_min,urgency_index,trailing_3pt_rate,clutch_window_minutes,clutch_scoring_events,clutch_home_points,clutch_away_points,clutch_points_diff,clutch_home_event_share,clutch_home_max_run_pts,clutch_away_max_run_pts,clutch_run_diff,clutch_last_scoring_home,clutch_last_scoring_away,target_q4_home_win
15616444,2026-02-28T16:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-14,-2,-2,32,50,68,-18,36,-18,0,23,0,519,-519,14.416666666666666,0,34,40,-6,5,5,0,0.4594594594594595,0.5,-18,18,0,1,0,18,19,12.0,1.5,1.5833333333333333,1.3888888888888888,1.8888888888888888,1.4705882352941178,0.4594594594594595,0.9444444444444444,1.5882352941176472,1.08,1.14,-0.5,2.375,0.14705882352941177,6.0,15,14,12,2,0.5333333333333333,10,5,5,0,1,0
15616445,2026-02-28T16:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,3,5,0,38,62,54,8,36,12,13,6,181,23,158,5.666666666666667,1,40,36,4,6,6,0,0.5263157894736842,0.5,8,8,0,0,1,8,9,12.0,0.6666666666666666,0.75,1.5,1.7222222222222223,1.5,0.47368421052631576,1.0,0.6666666666666666,0.4444444444444444,0.5,-0.22222222222222232,0.9166666666666667,0.16666666666666666,6.0,25,24,16,8,0.6,6,3,3,0,1,1
15616449,2026-02-28T16:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-9,0,9,49,60,60,0,36,-2,1,13,1,195,-194,5.444444444444445,2,42,43,-1,8,9,-1,0.49411764705882355,0.47058823529411764,0,0,1,0,0,0,0,12.0,0.0,0.0,1.6666666666666667,1.6666666666666667,1.3953488372093024,0.5058823529411764,1.1944444444444444,0.0,0.0,0.0,0.0,0.0,0.20930232558139536,6.0,17,17,10,7,0.5294117647058824,7,3,4,0,1,1
15616456,2026-02-28T16:00:00,"1 Liga Kobiet, Runda Zasadnicza",LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-6,9,-10,48,57,64,-7,36,-12,4,15,14,190,-176,5.666666666666667,2,33,43,-10,9,5,4,0.4342105263157895,0.6428571428571429,-7,7,0,1,0,7,8,12.0,0.5833333333333334,0.6666666666666666,1.5833333333333333,1.7777777777777777,1.7272727272727273,0.4342105263157895,0.9166666666666666,0.6363636363636362,0.368421052631579,0.42105263157894735,-0.19444444444444442,0.7962962962962963,0.2727272727272727,6.0,16,16,18,-2,0.4375,8,7,1,0,1,0
15616458,2026-02-28T16:00:00,"1 Liga Kobiet, Runda Zasadnicza",LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,9,1,-2,46,60,52,8,36,0,15,4,335,9,326,9.555555555555555,2,34,43,-9,6,5,1,0.44155844155844154,0.5454545454545454,8,8,0,0,1,8,9,12.0,0.6666666666666666,0.75,1.4444444444444444,1.6666666666666667,1.2093023255813953,0.5584415584415584,1.1944444444444444,0.558139534883721,0.4615384615384615,0.5192307692307693,-0.22222222222222232,0.9166666666666667,0.11627906976744186,6.0,21,12,21,-9,0.23809523809523808,5,8,-3,0,1,0
15616460,2026-02-28T16:00:00,"1 Liga Kobiet, Runda Zasadnicza",LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,1,18,17,29,67,31,36,36,36,40,4,674,10,664,19.0,5,38,22,16,7,3,4,0.6333333333333333,0.7,36,36,0,0,1,36,37,12.0,3.0,3.0833333333333335,0.8611111111111112,1.8611111111111112,1.4090909090909092,0.36666666666666664,0.6111111111111112,4.909090909090909,3.4838709677419355,3.5806451612903225,-1.0,6.166666666666667,0.13636363636363635,6.0,8,9,8,1,0.625,5,5,0,1,0,1
15616438,2026-02-28T16:30:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,6,4,-5,39,67,62,5,36,5,11,0,194,0,194,5.388888888888889,0,44,42,2,2,2,0,0.5116279069767442,0.5,5,5,0,0,1,5,6,12.0,0.4166666666666667,0.5,1.7222222222222223,1.8611111111111112,1.4761904761904763,0.4883720930232558,1.1666666666666667,0.3571428571428572,0.24193548387096775,0.29032258064516125,-0.13888888888888884,0.5694444444444444,0.047619047619047616,6.0,22,14,18,-4,0.4090909090909091,4,5,-1,0,1,1
15616439,2026-02-28T17:00:00,"Poland 2nd Basketball League, Runda Zasadnicza","Poland 2nd Basketball League, Runda Zasadnicza",men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-2,-12,8,44,61,67,-6,36,3,6,17,19,240,-221,7.194444444444445,3,43,45,-2,7,5,2,0.48863636363636365,0.5833333333333334,-6,6,0,1,0,6,7,12.0,0.5,0.5833333333333334,1.6944444444444444,1.8611111111111112,1.4186046511627908,0.48863636363636365,1.1944444444444444,0.41860465116279066,0.29508196721311475,0.34426229508196726,-0.16666666666666674,0.6805555555555557,0.16279069767441862,6.0,16,17,12,5,0.5625,7,4,3,1,0,1
15616729,2026-02-28T17:00:00,I A MCKL,LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,8,4,0,34,68,56,12,36,20,20,3,326,4,322,9.166666666666666,2,43,33,10,13,7,6,0.5657894736842105,0.65,12,12,0,0,1,12,13,12.0,1.0,1.0833333333333333,1.5555555555555556,1.8888888888888888,1.696969696969697,0.4342105263157895,0.9166666666666666,1.0909090909090908,0.6428571428571428,0.6964285714285714,-0.33333333333333326,1.4444444444444442,0.21212121212121213,6.0,17,18,14,4,0.5294117647058824,7,5,2,0,1,0
15643547,2026-02-28T17:00:00,"Egyptian Women's Basketball Super League, Regular Season",LEAGUE_OTHER,women,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,14,-11,13,29,58,42,16,36,16,19,2,400,0,400,11.11111111111111,0,40,34,6,5,5,0,0.5405405405405406,0.5,16,16,0,0,1,16,17,12.0,1.3333333333333333,1.4166666666666667,1.1666666666666667,1.6111111111111112,1.2352941176470589,0.4594594594594595,0.9444444444444444,1.411764705882353,1.1428571428571428,1.2142857142857142,-0.4444444444444444,2.0462962962962963,0.14705882352941177,6.0,13,15,7,8,0.6923076923076923,7,3,4,1,0,0
