match_id,datetime,league,league_bucket,gender_bucket,home_team_bucket,away_team_bucket,home_prior_wr,away_prior_wr,prior_wr_diff,prior_wr_sum,q1_diff,q2_diff,ht_home,ht_away,ht_diff,ht_total,gp_count,gp_last,gp_peak_home,gp_peak_away,gp_area_home,gp_area_away,gp_area_diff,gp_mean_abs,gp_swings,pbp_home_plays,pbp_away_plays,pbp_plays_diff,pbp_home_3pt,pbp_away_3pt,pbp_3pt_diff,pbp_home_plays_share,pbp_home_3pt_share,global_diff,global_abs_diff,is_tied,trailing_is_home,trailing_is_away,trailing_points_to_tie,trailing_points_to_lead,remaining_minutes_target,required_ppm_tie,required_ppm_lead,trailing_points_per_min,leading_points_per_min,trailing_points_per_play,trailing_play_share,trailing_plays_per_min,req_pts_per_trailing_event,pressure_ratio_tie,pressure_ratio_lead,scoring_gap_per_min,urgency_index,trailing_3pt_rate,clutch_window_minutes,clutch_scoring_events,clutch_home_points,clutch_away_points,clutch_points_diff,clutch_home_event_share,clutch_home_max_run_pts,clutch_away_max_run_pts,clutch_run_diff,clutch_last_scoring_home,clutch_last_scoring_away,target_q3_home_win
15684517,2026-03-08T19:00:00,Regular season,Regular season,men_or_open,TEAM_OTHER,Texas Longhorns,0.0,0.0,0.0,0.0,-15,-2,28,45,-17,73,24,-19,-4,19,0,326,-326,13.583333333333334,0,18,27,-9,3,3,0,0.4,0.5,-17,17,0,1,0,17,18,12.0,1.4166666666666667,1.5,1.1666666666666667,1.875,1.5555555555555556,0.4,0.75,1.8888888888888888,1.2142857142857142,1.2857142857142856,-0.7083333333333333,2.5625,0.16666666666666666,6.0,13,8,16,-8,0.38461538461538464,4,10,-6,0,1,1
15683337,2026-03-08T20:00:00,Regular season,Regular season,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-4,0,27,31,-4,58,24,0,1,9,1,84,-83,3.5416666666666665,2,14,18,-4,6,0,6,0.4375,1.0,-4,4,0,1,0,4,5,12.0,0.3333333333333333,0.4166666666666667,1.125,1.2916666666666667,1.9285714285714286,0.4375,0.5833333333333334,0.5714285714285714,0.2962962962962963,0.3703703703703704,-0.16666666666666674,0.48611111111111116,0.42857142857142855,6.0,7,9,6,3,0.5714285714285714,4,2,2,1,0,1
15625799,2026-03-08T21:00:00,"NBL-United States Commissioners Cup, 2k26 Commissioners Cup",LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,15,17,69,37,32,106,24,43,44,5,486,0,486,20.25,0,50,25,25,8,1,7,0.6666666666666666,0.8888888888888888,32,32,0,0,1,32,33,12.0,2.6666666666666665,2.75,1.5416666666666667,2.875,1.48,0.3333333333333333,1.0416666666666667,2.56,1.7297297297297296,1.7837837837837838,-1.3333333333333333,6.416666666666666,0.04,6.0,22,26,14,12,0.6363636363636364,17,5,12,1,0,1
15684365,2026-03-08T21:00:00,Regular season,Regular season,men_or_open,TCU Horned Frogs,TEAM_OTHER,0.0,0.0,0.0,0.0,-2,-1,23,26,-3,49,24,-4,4,7,8,63,-55,2.9583333333333335,2,12,16,-4,5,4,1,0.42857142857142855,0.5555555555555556,-3,3,0,1,0,3,4,12.0,0.25,0.3333333333333333,0.9583333333333334,1.0833333333333333,1.9166666666666667,0.42857142857142855,0.5,0.5,0.2608695652173913,0.34782608695652173,-0.12499999999999989,0.375,0.4166666666666667,6.0,7,8,7,1,0.42857142857142855,8,7,1,0,1,0
15684677,2026-03-08T21:00:00,Regular season,Regular season,men_or_open,Villanova Wildcats,TEAM_OTHER,0.0,0.0,0.0,0.0,11,0,36,25,11,61,24,16,17,3,275,0,275,11.458333333333334,0,24,16,8,3,2,1,0.6,0.6,11,11,0,0,1,11,12,12.0,0.9166666666666666,1.0,1.0416666666666667,1.5,1.5625,0.4,0.6666666666666666,1.375,0.8799999999999999,0.96,-0.45833333333333326,1.4583333333333333,0.125,6.0,12,12,10,2,0.5833333333333334,10,9,1,0,1,1
15652126,2026-03-09T10:10:00,"The League, Плэйофф 1-р шат",LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-1,2,37,36,1,73,24,0,4,5,25,17,8,1.75,5,25,20,5,4,6,-2,0.5555555555555556,0.4,1,1,0,0,1,1,2,12.0,0.08333333333333333,0.16666666666666666,1.5,1.5416666666666667,1.8,0.4444444444444444,0.8333333333333334,0.1,0.05555555555555555,0.1111111111111111,-0.04166666666666674,0.1736111111111111,0.3,6.0,12,11,12,-1,0.5833333333333334,5,4,1,0,1,1
14715570,2026-03-09T12:00:00,Super League,Super League,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,-8,-5,35,48,-13,83,24,-21,2,21,3,216,-213,9.125,1,22,33,-11,5,4,1,0.4,0.5555555555555556,-13,13,0,1,0,13,14,12.0,1.0833333333333333,1.1666666666666667,1.4583333333333333,2.0,1.5909090909090908,0.4,0.9166666666666666,1.1818181818181819,0.7428571428571429,0.8,-0.5416666666666667,1.7986111111111114,0.22727272727272727,6.0,14,8,13,-5,0.35714285714285715,3,6,-3,0,1,0
15652127,2026-03-09T12:40:00,"The League, Плэйофф 1-р шат",LEAGUE_OTHER,men_or_open,TEAM_OTHER,SG Apes,0.0,0.0,0.0,0.0,-9,-2,28,39,-11,67,24,-11,0,18,0,239,-239,9.958333333333334,0,18,21,-3,4,5,-1,0.46153846153846156,0.4444444444444444,-11,11,0,1,0,11,12,12.0,0.9166666666666666,1.0,1.1666666666666667,1.625,1.5555555555555556,0.46153846153846156,0.75,1.2222222222222223,0.7857142857142856,0.8571428571428571,-0.45833333333333326,1.4583333333333333,0.2222222222222222,6.0,13,14,9,5,0.6923076923076923,10,3,7,0,1,0
14715567,2026-03-09T13:00:00,Super League,Super League,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,20,-5,49,34,15,83,24,14,24,2,392,0,392,16.333333333333332,0,28,24,4,8,1,7,0.5384615384615384,0.8888888888888888,15,15,0,0,1,15,16,12.0,1.25,1.3333333333333333,1.4166666666666667,2.0416666666666665,1.4166666666666667,0.46153846153846156,1.0,1.25,0.8823529411764706,0.9411764705882352,-0.6249999999999998,2.166666666666666,0.041666666666666664,6.0,15,9,18,-9,0.3333333333333333,3,9,-6,0,1,1
15522302,2026-03-09T14:00:00,"Erkekler Bölgesel Basketbol Ligi, A Grubu",LEAGUE_OTHER,men_or_open,TEAM_OTHER,TEAM_OTHER,0.0,0.0,0.0,0.0,0,0,30,30,0,60,24,1,3,5,8,28,-20,1.5,5,19,18,1,2,4,-2,0.5135135135135135,0.3333333333333333,0,0,1,0,0,0,0,12.0,0.0,0.0,1.25,1.25,1.5789473684210527,0.5135135135135135,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,6.0,8,9,7,2,0.625,5,3,2,0,1,1
